# s_m,x_m,y_m,trac_dir,kappa_radpm,vx_mps,dist_left_m,dist_right_m
15.099910,20.066217,11.117174,-1.510803,0.170844,4.562365,0.734400,0.967363
15.199909,20.073031,11.017409,-1.494736,0.150478,4.636810,0.728499,0.975465
15.299909,20.081346,10.917756,-1.480707,0.130125,4.711386,0.721132,0.985160
15.399908,20.090957,10.818220,-1.468710,0.109822,4.785900,0.712439,0.995854
15.499908,20.101660,10.718796,-1.458740,0.089580,4.860136,0.702568,1.004902
15.599907,20.113256,10.619471,-1.450731,0.070790,4.933866,0.691683,1.014774
15.699906,20.125554,10.520231,-1.444582,0.052181,5.006751,0.677661,1.025239
15.799906,20.138370,10.421056,-1.440295,0.033560,5.078582,0.661981,1.036072
15.899905,20.151518,10.321925,-1.437870,0.014936,5.149147,0.645755,1.046645
15.999905,20.164815,10.222814,-1.437308,-0.003687,5.218215,0.629174,1.056510
16.099904,20.178073,10.123697,-1.438680,-0.023976,5.285238,0.612433,1.066134
16.199903,20.191093,10.024549,-1.442105,-0.044511,5.349731,0.594757,1.075311
16.299903,20.203672,9.925344,-1.447582,-0.065048,5.403499,0.577031,1.083851
16.399902,20.215606,9.826059,-1.455114,-0.085575,5.281101,0.559819,1.091583
16.499902,20.226689,9.726677,-1.464696,-0.106071,5.159574,0.543365,1.097113
16.599901,20.236717,9.627182,-1.476353,-0.127146,5.039421,0.529539,1.101511
16.699900,20.245479,9.527568,-1.490129,-0.148384,4.920969,0.521606,1.104708
16.799900,20.252761,9.427835,-1.506032,-0.169685,4.804426,0.515212,1.106592
16.899899,20.258351,9.327993,-1.524066,-0.190998,4.689888,0.510618,1.107064
16.999899,20.262033,9.228063,-1.544228,-0.212237,4.577310,0.508230,1.106038
17.099898,20.263590,9.128078,-1.566612,-0.235773,4.467633,0.509944,1.107799
17.199897,20.262789,9.028084,4.691790,-0.259941,4.361165,0.514337,1.114423
17.299897,20.259390,8.928145,4.664579,-0.284308,4.257985,0.521759,1.118966
17.399896,20.253151,8.828344,4.634928,-0.308693,4.158017,0.533944,1.121422
17.499896,20.243835,8.728784,4.602849,-0.332835,4.060937,0.570084,1.121799
17.599895,20.231215,8.629589,4.568498,-0.353972,3.964542,0.611441,1.120116
17.699894,20.215092,8.530903,4.532013,-0.375938,3.868551,0.658729,1.116397
17.799894,20.195270,8.432894,4.493272,-0.399073,3.772766,0.712005,1.110672
