# vehicle: f110_demo
# optimisation: mincurv_iqp
# lap_time_s: 17.7337
# raceline_length_m: 65.8817
# generated: 2026-08-20 11:51:54
# s_m;x_m;y_m;trac_dir;kappa_radpm;vx_mps;dist_left_m;dist_right_m
25.454307;4.676596;-1.842251;3.322833;0.172954;3.939314;0.538027;0.406570
25.753770;4.382950;-1.900950;3.345085;-0.024599;4.224663;0.489942;0.472826
26.053232;4.088890;-1.957475;3.308064;-0.212505;4.454045;0.431751;0.529323
26.352694;3.792318;-1.998736;3.255169;-0.140991;4.653025;0.388769;0.567392
26.652157;3.494246;-2.027432;3.223467;-0.070888;4.637415;0.358770;0.594424
26.951619;3.195623;-2.049815;3.212911;0.000509;4.172981;0.336039;0.616382
27.251082;2.897004;-2.072238;3.223684;0.063322;3.643301;0.313819;0.639391
27.550544;2.598329;-2.093629;3.182347;-0.341038;3.171671;0.291610;0.657885
27.850007;2.299344;-2.084402;3.018942;-0.742134;2.746164;0.302863;0.651501
28.149469;2.009096;-2.013624;2.779113;-0.876614;2.512267;0.384051;0.614575
28.448931;1.747678;-1.869721;2.488135;-1.063899;2.261998;0.603265;0.560629
28.748394;1.542722;-1.653120;2.166134;-1.127263;2.191409;0.760857;0.459498
29.047856;1.422971;-1.380566;1.788492;-1.419847;1.927327;1.000001;0.311926
29.347319;1.418462;-1.083028;1.397505;-1.176542;2.140372;0.941155;0.331643
29.646781;1.518762;-0.802336;1.060580;-1.119577;2.199661;0.830930;0.530319
29.946244;1.704768;-0.569262;0.741315;-0.992112;2.349746;0.642045;0.643516
30.245706;1.951452;-0.401224;0.458345;-0.919553;2.448375;0.459767;0.701968
30.545169;2.233985;-0.304143;0.220341;-0.615489;2.818173;0.362075;0.732690
30.844631;2.530035;-0.260479;0.090200;-0.261397;3.108814;0.319685;0.743812
31.144093;2.828941;-0.242994;0.028326;-0.197455;3.493018;0.308083;0.740382
31.443556;3.128362;-0.243187;-0.028956;-0.184272;3.834043;0.308301;0.741112
31.743018;3.427317;-0.259970;-0.082976;-0.178605;4.130036;0.326092;0.727441
