s,x,y,yaw,curvature,v_ref,width_left,width_right
14.800673,8.766710,6.529128,1.266140,0.178945,5.099698,0.495947,0.960968
14.900680,8.795813,6.624807,1.285337,0.204976,5.009930,0.468700,0.973826
15.000686,8.822951,6.721060,1.306880,0.219703,4.923092,0.441442,0.986720
15.100692,8.847975,6.817885,1.328920,0.221069,4.830706,0.444749,0.996920
15.200699,8.870852,6.915240,1.351100,0.222513,4.732510,0.446058,1.009881
15.300705,8.891553,7.013080,1.373694,0.235764,4.634367,0.460737,1.018455
15.400711,8.909934,7.111382,1.398655,0.263469,4.544541,0.483878,1.000361
15.500716,8.925719,7.210133,1.426402,0.291472,4.465156,0.505751,0.985348
15.600720,8.938627,7.309301,1.456374,0.293625,4.448368,0.529008,0.972201
15.700725,8.948634,7.408804,1.484256,0.263977,4.497232,0.549741,0.943408
15.800731,8.956011,7.508538,1.509181,0.234542,4.553512,0.559596,0.918813
15.900737,8.961038,7.608417,1.531750,0.231021,4.615227,0.567373,0.897701
16.000743,8.963740,7.708387,1.556279,0.259557,4.530867,0.582588,0.879793
16.100748,8.963846,7.808392,1.583670,0.288231,4.447482,0.606538,0.864902
16.200752,8.961074,7.908358,1.613653,0.304477,4.366431,0.627338,0.853445
16.300757,8.955267,8.008194,1.644149,0.305465,4.359184,0.648139,0.834828
16.400761,8.946413,8.107805,1.674763,0.306817,4.349327,0.669062,0.818910
16.500766,8.934507,8.207098,1.705602,0.311790,4.313623,0.687214,0.806800
16.600770,8.919508,8.305971,1.737254,0.321260,4.247919,0.702573,0.798042
16.700774,8.901340,8.404311,1.769869,0.331025,4.183119,0.712327,0.793305
16.800777,8.879927,8.501995,1.803453,0.340168,4.124969,0.719386,0.799814
16.900781,8.855205,8.598895,1.837894,0.348675,4.072909,0.723796,0.814364
17.000784,8.827119,8.694873,1.873208,0.357624,4.020146,0.725564,0.830726
17.100787,8.795619,8.789785,1.909442,0.367229,3.965658,0.726797,0.847587
17.200789,8.760654,8.883476,1.946691,0.377780,3.908186,0.725604,0.871111
17.300791,8.722176,8.975779,1.985023,0.388865,3.850318,0.721687,0.904939
17.400793,8.680137,9.066515,2.024482,0.400298,3.793144,0.715000,0.945096
17.500795,8.634500,9.155496,2.065113,0.412380,3.735297,0.708475,0.994852
17.600796,8.585234,9.242519,2.106988,0.425169,3.676741,0.701819,1.052645
17.700796,8.532312,9.327369,2.150173,0.438605,3.617972,0.692203,1.106859
17.800797,8.475720,9.409815,2.194756,0.453153,3.557276,0.679527,1.155044
17.900796,8.415451,9.489612,2.240842,0.468622,3.495826,0.663255,1.212398
18.000795,8.351510,9.566497,2.288472,0.483073,3.441072,0.643065,1.247112
18.100793,8.283931,9.640204,2.337449,0.496631,3.391862,0.619136,1.236026
18.200791,8.212775,9.710464,2.387853,0.511566,3.339903,0.539676,1.232921
18.300789,8.138122,9.776994,2.439612,0.518491,3.316564,0.442302,1.238168
18.400786,8.060124,9.839570,2.491256,0.514548,3.329798,0.447900,1.206410
18.500783,7.979009,9.898050,2.542580,0.512114,3.338040,0.457037,1.147131
18.600781,7.895007,9.952301,2.593667,0.507789,3.352830,0.476062,1.097978
18.700779,7.808360,10.002220,2.644051,0.500018,3.379878,0.506706,1.058242
18.800777,7.719325,10.047744,2.693720,0.493488,3.403091,0.532676,0.987946
18.900775,7.628152,10.088819,2.742802,0.488250,3.422044,0.559940,0.926150
19.000774,7.535083,10.125395,2.791410,0.483989,3.437683,0.588046,0.873044
19.100772,7.440352,10.157424,2.839642,0.480764,3.449656,0.611855,0.821019
19.200771,7.344191,10.184862,2.887623,0.479400,3.454758,0.631667,0.777358
19.300770,7.246826,10.207658,2.935603,0.480329,3.451282,0.647854,0.743986
19.400769,7.148477,10.225752,2.983740,0.482537,3.443059,0.660463,0.719451
19.500767,7.049371,10.239080,3.032088,0.482527,3.443098,0.669590,0.701623
19.600766,6.949737,10.247614,3.080134,0.478394,3.458532,0.675389,0.690189
19.700765,6.849809,10.251373,3.127794,0.474831,3.471999,0.677937,0.685192
19.800764,6.749815,10.250380,-3.107776,0.485464,3.420437,0.677267,0.686513
19.900762,6.649988,10.244522,-3.057643,0.517630,3.315564,0.673393,0.694424
20.000759,6.550601,10.233504,-3.004149,0.552571,3.208090,0.666287,0.707210
20.100754,6.451972,10.217027,-2.948135,0.536836,3.256909,0.655760,0.727627
20.200752,6.354358,10.195324,-2.899035,0.444890,3.333782,0.642443,0.757099
20.300754,6.257802,10.169299,-2.859142,0.353112,3.249901,0.624866,0.794057
20.400758,6.162231,10.139852,-2.826161,0.369567,3.065865,0.603099,0.834827
20.500758,6.067849,10.106807,-2.780570,0.543182,2.905213,0.587500,0.866164
20.600750,5.975410,10.068685,-2.717348,0.721546,2.781635,0.581746,0.899715
20.700731,5.885954,10.024029,-2.638454,0.791456,2.653638,0.572776,0.949284
20.800717,5.800258,9.972520,-2.563832,0.701577,2.752343,0.558480,1.001819
20.900707,5.718382,9.915123,-2.497920,0.617799,2.856777,0.529373,1.066146
21.000702,5.640212,9.852766,-2.439344,0.576302,2.965623,0.488559,1.121729
21.100696,5.565791,9.785980,-2.380759,0.595636,3.064819,0.458130,1.166681
21.200689,5.495480,9.714882,-2.320151,0.616652,3.028676,0.441407,1.224312
21.300681,5.429681,9.639590,-2.257900,0.609680,3.046838,0.470557,1.250118
21.400676,5.368562,9.560449,-2.199908,0.550105,3.130389,0.541134,1.216758
21.500673,5.311886,9.478064,-2.147831,0.491679,3.219839,0.580678,1.194313
21.600672,5.259335,9.392985,-2.100746,0.479340,3.215410,0.613429,1.180621
21.700670,5.210982,9.305456,-2.048964,0.556990,3.088596,0.640805,1.136010
21.800663,5.167581,9.215372,-1.989204,0.638603,2.973417,0.664245,1.081855
21.900653,5.130007,9.122711,-1.922529,0.636819,2.977804,0.681476,1.038026
22.000648,5.098269,9.027885,-1.868124,0.451215,3.063742,0.696754,1.002586
22.100652,5.070841,8.931717,-1.832193,0.267947,3.182811,0.711497,0.974033
22.200659,5.046013,8.834841,-1.813191,0.168267,3.317895,0.731883,0.952452
22.300665,5.022960,8.737528,-1.792216,0.251300,3.445693,0.751896,0.933615
22.400670,5.002362,8.639668,-1.762917,0.334604,3.553326,0.768274,0.917358
22.500672,4.985042,8.541177,-1.725921,0.377759,3.644017,0.780834,0.902377
22.600675,4.971384,8.442110,-1.690450,0.331731,3.727288,0.790770,0.884206
22.700680,4.961020,8.342645,-1.659539,0.286613,3.815453,0.798623,0.870947
22.800685,4.953513,8.242921,-1.632933,0.252680,3.907361,0.804540,0.861676
22.900691,4.948547,8.143039,-1.608183,0.242257,4.000272,0.808518,0.855645
23.000697,4.946003,8.043065,-1.584479,0.231771,4.089645,0.810573,0.852582
23.100703,4.945775,7.943059,-1.561861,0.218869,4.175948,0.810757,0.852309
23.200709,4.947733,7.843072,-1.540897,0.200394,4.259999,0.809129,0.854615
23.300716,4.951693,7.743144,-1.521775,0.182032,4.343025,0.805775,0.859225
23.400723,4.957472,7.643304,-1.504472,0.164526,4.425113,0.800788,0.865876
23.500730,4.964895,7.543573,-1.488809,0.148705,4.506201,0.794273,0.874332
23.600738,4.973800,7.443962,-1.474728,0.132891,4.586113,0.786326,0.884377
23.700745,4.984028,7.344479,-1.462225,0.117266,4.664898,0.776914,0.896286
23.800753,4.995422,7.245123,-1.451260,0.102016,4.742555,0.766219,0.923329
23.900761,5.007829,7.145887,-1.441820,0.086773,4.819043,0.754412,0.951276
24.000769,5.021097,7.046763,-1.433914,0.070817,4.894338,0.738009,0.976413
24.100777,5.035065,6.947736,-1.427717,0.053113,4.968443,0.715893,0.995615
24.200785,5.049559,6.848783,-1.423291,0.035409,5.041361,0.692914,1.015091
24.300794,5.064404,6.749883,-1.420589,0.020841,5.112926,0.669645,1.032523
24.400802,5.079461,6.651015,-1.418852,0.013892,5.182887,0.646545,1.048032
24.500810,5.094655,6.552167,-1.417810,0.006942,5.251062,0.623188,1.063576
24.600818,5.109917,6.453331,-1.417630,-0.011497,5.317456,0.603650,1.079049
24.700826,5.125041,6.354473,-1.421114,-0.058184,5.380333,0.588034,1.093771
24.800834,5.139590,6.255529,-1.429269,-0.104902,5.437063,0.572635,1.107160
24.900842,5.153103,6.156438,-1.441763,-0.128401,5.438600,0.558036,1.118905
25.000850,5.165391,6.057188,-1.452889,-0.094099,5.329376,0.544892,1.129735
25.100858,5.176745,5.957827,-1.460585,-0.059816,5.206554,0.532989,1.140163
25.200866,5.187501,5.858399,-1.465186,-0.048814,5.074068,0.521907,1.150411
25.300874,5.197722,5.758914,-1.472439,-0.096241,4.943350,0.511249,1.159828
25.400882,5.206985,5.659337,-1.484437,-0.143712,4.819289,0.501384,1.167837
25.500889,5.214817,5.559637,-1.501019,-0.179631,4.701199,0.492882,1.174174
25.600896,5.220882,5.459814,-1.519325,-0.186470,4.579250,0.486262,1.178048
25.700902,5.225084,5.359895,-1.538317,-0.193344,4.452882,0.473004,1.170384
25.800909,5.227353,5.259914,-1.558120,-0.208952,4.324304,0.455915,1.161293
25.900915,5.227512,5.159908,-1.580914,-0.246945,4.200868,0.441387,1.151014
26.000920,5.225202,5.059930,-1.607525,-0.285281,4.083421,0.451018,1.139554
26.100925,5.220042,4.960059,-1.637811,-0.311898,3.966975,0.464100,1.129406
26.200929,5.211796,4.860395,-1.668832,-0.308463,3.839068,0.481147,1.117879
26.300934,5.200479,4.761033,-1.699508,-0.305015,3.697796,0.502128,1.104105
26.400938,5.186134,4.662063,-1.730197,-0.326733,3.549042,0.526758,1.088113
26.500941,5.168509,4.563625,-1.767185,-0.413306,3.414530,0.548350,1.071531
26.600940,5.146831,4.466004,-1.812924,-0.501585,3.299500,0.576412,1.055444
