# vehicle: f110_demo
# optimisation: mincurv_iqp
# lap_time_s: 7.2125
# raceline_length_m: 31.3272
# generated: 2026-07-24 22:33:46
# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2;dist_left_m;dist_right_m
8.307218;3.534458;0.246620;-1.730889;-0.372664;3.893153;-3.567934;0.823588;0.570932
8.407305;3.632937;0.228786;-1.769439;-0.397705;3.800320;-3.536982;0.879958;0.520590
8.507392;3.730629;0.207050;-1.810345;-0.418707;3.705998;-3.341479;0.944791;0.465100
8.607479;3.827323;0.181240;-1.853277;-0.439389;3.614629;-3.193572;1.019354;0.426281
8.707566;3.922787;0.151204;-1.898336;-0.461159;3.525092;2.471221;1.008462;0.385879
8.807653;4.016779;0.116835;-1.943796;-0.433383;3.594572;2.590930;0.991481;0.341416
8.907740;4.109195;0.078425;-1.984834;-0.386800;3.666004;2.925525;0.981228;0.386812
9.007827;4.200056;0.036464;-2.021259;-0.341271;3.745023;3.205853;0.976602;0.429401
9.107914;4.289433;-0.008572;-2.053001;-0.291537;3.829743;3.488960;0.922113;0.459059
9.208001;4.377460;-0.056196;-2.079578;-0.239538;3.919863;3.745111;0.846718;0.490668
9.308088;4.464320;-0.105918;-2.100954;-0.187653;4.014349;3.937146;0.778878;0.563961
9.408174;4.550239;-0.157253;-2.116641;-0.121508;4.111340;4.131263;0.717048;0.635991
9.508261;4.635527;-0.209628;-2.125183;-0.049174;4.210711;4.230951;0.659956;0.710745
9.608348;4.720557;-0.262423;-2.126485;0.023154;4.310106;-2.025227;0.606219;0.791490
9.708435;4.805703;-0.315030;-2.121058;0.080782;4.262818;-6.576757;0.554329;0.877097
9.808522;4.891271;-0.366948;-2.110414;0.131917;4.105499;-6.283841;0.514242;0.944055
9.908609;4.977516;-0.417732;-2.094653;0.182997;3.949336;-5.902862;0.477901;0.990942
10.008696;5.064679;-0.466922;-2.073540;0.241244;3.796796;-5.468001;0.440366;1.042988
10.108783;5.153003;-0.513992;-2.046295;0.303228;3.649809;-5.033956;0.412225;1.095993
10.208870;5.242714;-0.558360;-2.012838;0.365279;3.509051;-4.667749;0.384280;1.112661
10.308957;5.333984;-0.599420;-1.973298;0.423940;3.373289;-4.351113;0.360266;1.135628
10.409044;5.426911;-0.636571;-1.927950;0.482453;3.241620;-4.090486;0.367267;1.166508
10.509131;5.521522;-0.669191;-1.876702;0.541595;3.112763;-3.849475;0.370132;1.182416
10.609218;5.617759;-0.696635;-1.819407;0.605168;2.986424;-3.621852;0.367001;1.197195
10.709305;5.715478;-0.718198;-1.755386;0.674715;2.862469;-3.480251;0.362132;1.223724
10.809392;5.814426;-0.733115;-1.684278;0.746262;2.738078;-2.693052;0.367993;1.229024
10.909479;5.914206;-0.740621;-1.606613;0.800377;2.637801;-2.324655;0.372132;1.233555
11.009566;6.014264;-0.740111;-1.523905;0.853823;2.548069;-2.311736;0.360260;1.236511
11.109653;6.113909;-0.731058;-1.435454;0.914553;2.455587;-0.094454;0.342340;1.196645
11.209740;6.212312;-0.712974;-1.342723;0.917219;2.451734;0.871540;0.342712;1.171258
11.309827;6.308646;-0.685946;-1.252197;0.893198;2.487059;0.549156;0.343726;1.126927
11.409914;6.402180;-0.650417;-1.163609;0.878697;2.509061;1.191554;0.341484;1.101846
11.510001;6.492237;-0.606817;-1.076757;0.848799;2.556150;1.737225;0.348904;1.089492
11.610088;6.578272;-0.555732;-0.993847;0.808682;2.623290;1.642869;0.350356;1.093645
11.710175;6.659894;-0.497852;-0.914694;0.774083;2.685240;1.490176;0.350973;1.106670
11.810262;6.736790;-0.433823;-0.838689;0.745165;2.740220;1.460173;0.350314;1.133710
11.910349;6.808701;-0.364240;-0.765450;0.718851;2.793044;1.341106;0.346257;1.147422
12.010436;6.875423;-0.289665;-0.694668;0.696269;2.840695;1.369245;0.350540;1.163328
12.110522;6.936789;-0.210622;-0.626026;0.674631;2.888535;1.440855;0.350574;1.182129
12.210609;6.992682;-0.127618;-0.559593;0.653268;2.938036;1.330750;0.358305;1.191179
12.310696;7.043031;-0.041137;-0.495165;0.634705;2.983025;0.936892;0.363044;1.211857
12.410783;7.087784;0.048369;-0.432342;0.622256;3.014296;0.654068;0.374699;1.213520
12.510870;7.126878;0.140488;-0.370500;0.613851;3.035936;0.491978;0.381472;1.217829
12.610957;7.160241;0.234835;-0.309390;0.607677;3.052112;0.429384;0.403048;1.224625
12.711044;7.187806;0.331035;-0.248823;0.602389;3.066161;0.348468;0.421194;1.225634
12.811131;7.209523;0.428722;-0.188760;0.598165;3.077514;0.174875;0.435488;1.235708
12.911218;7.225355;0.527534;-0.129014;0.596067;3.083196;-0.037298;0.450385;1.241875
13.011305;7.235265;0.627115;-0.069359;0.596513;3.081985;-0.237332;0.460657;1.258503
13.111392;7.239214;0.727109;-0.009531;0.599368;3.074268;-0.403793;0.466474;1.273720
13.211479;7.237159;0.827160;0.050688;0.604288;3.061094;-0.551042;0.479101;1.299898
13.311566;7.229058;0.926904;0.111495;0.611134;3.043024;-0.726034;0.487839;1.322055
13.411653;7.214874;1.025965;0.173105;0.620395;3.019050;-0.874697;0.492164;1.354181
13.511740;7.194568;1.123954;0.235758;0.631932;2.989911;-0.611705;0.498871;1.394858
13.611827;7.168110;1.220463;0.299516;0.640259;2.969364;-0.532999;0.503579;1.446885
13.711914;7.135525;1.315079;0.363943;0.647695;2.951344;-0.733617;0.494364;1.506436
13.812001;7.096877;1.407384;0.429272;0.658217;2.926359;0.582863;0.381366;1.541338
13.912088;7.052245;1.496949;0.495188;0.649829;2.946227;1.691831;0.341993;1.590835
14.012175;7.001889;1.583426;0.559047;0.626651;3.003150;1.586148;0.349203;1.611762
14.112262;6.946208;1.666576;0.620725;0.606374;3.055555;1.912439;0.367426;1.592114
14.212349;6.885586;1.746197;0.680384;0.583606;3.117569;2.381222;0.381241;1.584752
14.312436;6.820420;1.822144;0.737480;0.557539;3.193101;2.436851;0.387668;1.534349
14.412523;6.751117;1.894339;0.792046;0.533169;3.268592;2.445042;0.390807;1.463628
14.512610;6.678059;1.962733;0.844278;0.510768;3.342622;2.513479;0.393440;1.406123
14.612697;6.601602;2.027305;0.894313;0.489221;3.417054;2.501119;0.391988;1.286273
14.712784;6.522074;2.088058;0.942246;0.468826;3.489544;2.497099;0.399761;1.170900
14.812870;6.439783;2.145012;0.988209;0.449794;3.560445;2.495912;0.406589;1.078787
14.912957;6.355011;2.198206;1.032301;0.431385;3.629929;2.504787;0.409751;1.020462
15.013044;6.268021;2.247690;1.074587;0.413765;3.698348;2.519311;0.436848;0.970805
15.113131;6.179057;2.293531;1.115159;0.397068;3.765910;2.535881;0.461905;0.924296
15.213218;6.088340;2.335800;1.154082;0.380794;3.832714;2.559802;0.483399;0.881258
15.313305;5.996079;2.374582;1.191402;0.365061;3.898987;2.587912;0.513797;0.844645
15.413392;5.902461;2.409967;1.227181;0.349969;3.964863;2.613654;0.541621;0.794961
15.513479;5.807662;2.442053;1.261465;0.335164;4.030300;2.639918;0.566268;0.749135
15.613566;5.711839;2.470940;1.294284;0.320727;4.095334;2.669440;0.584878;0.707467
15.713653;5.615137;2.496737;1.325682;0.306729;4.160062;2.700295;0.599705;0.668218
15.813740;5.517690;2.519553;1.355689;0.292919;4.224529;2.734925;0.612024;0.633652
15.913827;5.419615;2.539503;1.384325;0.279354;4.288835;2.771613;0.620579;0.600832
16.013914;5.321020;2.556703;1.411619;0.266085;4.353035;2.808924;0.624171;0.571242
16.114001;5.222001;2.571272;1.437591;0.252933;4.417147;2.848389;0.625562;0.544229
16.214088;5.122646;2.583329;1.462254;0.239937;4.481223;2.888745;0.624821;0.513224
16.314175;5.023029;2.592997;1.485627;0.227135;4.545284;2.928893;0.634534;0.485462
16.414262;4.923218;2.600398;1.507723;0.214400;4.609327;2.969661;0.643539;0.459982
16.514349;4.823271;2.605656;1.528548;0.201758;4.673365;3.010070;0.650736;0.436181
16.614436;4.723238;2.608894;1.548114;0.189238;4.737392;3.049246;0.655148;0.414881
16.714523;4.623162;2.610237;1.566429;0.176751;4.801381;3.087487;0.657228;0.397400
16.814610;4.523077;2.609810;1.583496;0.164315;4.865316;3.124000;0.657755;0.383088
16.914697;4.423012;2.607736;1.599323;0.151949;4.929162;3.158057;0.657248;0.370641
17.014784;4.322991;2.604142;1.613913;0.139596;4.992875;3.189580;0.656216;0.361171
17.114871;4.223029;2.599150;1.627267;0.127267;5.056409;3.217896;0.653898;0.353776
17.214958;4.123139;2.592885;1.639390;0.114974;5.119708;3.242370;0.652407;0.347753
17.315045;4.023328;2.585471;1.650282;0.102683;5.182707;3.262680;0.662182;0.345153
17.415132;3.923598;2.577032;1.659945;0.090401;5.245336;3.278222;0.671060;0.344255
17.515218;3.823948;2.567691;1.668379;0.078134;5.307520;3.288416;0.679068;0.344292
17.615305;3.724374;2.557571;1.675585;0.065865;5.369173;3.292794;0.682661;0.344022
17.715392;3.624869;2.546794;1.681563;0.053599;5.430207;3.290783;0.685650;0.344196
17.815479;3.525423;2.535484;1.686314;0.041335;5.490526;3.281814;0.688146;0.344915
17.915566;3.426025;2.523763;1.689837;0.029070;5.550028;3.265331;0.687235;0.346458
18.015653;3.326661;2.511752;1.692133;0.016805;5.608605;3.240732;0.685887;0.348353
18.115740;3.227318;2.499574;1.693220;0.005424;5.666141;3.207091;0.684359;0.350410
18.215827;3.127981;2.487342;1.693253;-0.004773;5.722511;3.158808;0.678944;0.347961
18.315914;3.028639;2.475157;1.692265;-0.014970;5.777495;3.109348;0.673321;0.344828
