# vehicle: f110_demo
# optimisation: mincurv_iqp
# lap_time_s: 10.8188
# raceline_length_m: 46.9908
# generated: 2026-07-24 22:33:46
# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2;dist_left_m;dist_right_m
23.570480;8.422705;3.745106;1.325682;0.204486;4.160062;2.700295;0.899558;1.002327
23.720610;8.276535;3.779330;1.355689;0.195279;4.224529;2.734925;0.918036;0.950478
23.870741;8.129423;3.809254;1.384325;0.186236;4.288835;2.771613;0.930868;0.901248
24.020871;7.981530;3.835055;1.411619;0.177390;4.353035;2.808924;0.936257;0.856863
24.171001;7.833001;3.856908;1.437591;0.168622;4.417147;2.848389;0.938343;0.816343
24.321132;7.683969;3.874993;1.462254;0.159958;4.481223;2.888745;0.937231;0.769836
24.471262;7.534543;3.889495;1.485627;0.151423;4.545284;2.928893;0.951801;0.728193
24.621393;7.384827;3.900597;1.507723;0.142933;4.609327;2.969661;0.965308;0.689973
24.771524;7.234907;3.908484;1.528548;0.134505;4.673365;3.010070;0.976104;0.654272
24.921654;7.084857;3.913341;1.548114;0.126159;4.737392;3.049246;0.982722;0.622321
25.071784;6.934743;3.915356;1.566429;0.117834;4.801381;3.087487;0.985842;0.596100
25.221915;6.784615;3.914715;1.583496;0.109543;4.865316;3.124000;0.986633;0.574632
25.372045;6.634518;3.911604;1.599323;0.101299;4.929162;3.158057;0.985872;0.555961
25.522176;6.484487;3.906213;1.613913;0.093064;4.992875;3.189580;0.984324;0.541756
25.672307;6.334544;3.898725;1.627267;0.084845;5.056409;3.217896;0.980847;0.530664
25.822437;6.184709;3.889327;1.639390;0.076649;5.119708;3.242370;0.978610;0.521629
25.972568;6.034992;3.878207;1.650282;0.068455;5.182707;3.262680;0.993273;0.517729
26.122698;5.885397;3.865548;1.659945;0.060267;5.245336;3.278222;1.006590;0.516382
26.272827;5.735922;3.851536;1.668379;0.052089;5.307520;3.288416;1.018602;0.516438
26.422957;5.586561;3.836356;1.675585;0.043910;5.369173;3.292794;1.023991;0.516033
26.573088;5.437303;3.820191;1.681563;0.035733;5.430207;3.290783;1.028475;0.516294
26.723219;5.288134;3.803226;1.686314;0.027557;5.490526;3.281814;1.032219;0.517373
26.873349;5.139038;3.785645;1.689837;0.019380;5.550028;3.265331;1.030852;0.519687
27.023480;4.989992;3.767628;1.692133;0.011203;5.608605;3.240732;1.028830;0.522530
27.173610;4.840977;3.749361;1.693220;0.003616;5.666141;3.207091;1.026539;0.525615
27.323740;4.691972;3.731013;1.693253;-0.003182;5.722511;3.158808;1.018416;0.521942
27.473871;4.542959;3.712735;1.692265;-0.009980;5.777495;3.109348;1.009981;0.517242
27.624002;4.393917;3.694678;1.690330;-0.014429;5.831111;3.066618;1.001723;0.512334
27.774132;4.244838;3.676943;1.688075;-0.015605;5.883512;3.024395;1.010820;0.517912
27.924262;4.095719;3.659555;1.685644;-0.016783;5.934738;2.984464;1.020590;0.524641
28.074393;3.946556;3.642542;1.683054;-0.017375;5.984858;2.947093;1.031124;0.530991
28.224523;3.797347;3.625917;1.680465;-0.017121;6.033942;2.911289;1.053098;0.533853
28.374654;3.648099;3.609676;1.677913;-0.016867;6.082041;2.876228;1.075473;0.535920
28.524784;3.498808;3.593814;1.675400;-0.016613;6.129190;2.841882;1.098340;0.537612
28.674915;3.349479;3.578324;1.672925;-0.016359;6.175422;2.808226;1.122834;0.543049
28.825046;3.200113;3.563200;1.670488;-0.016106;6.220770;2.775236;1.147714;0.548538
28.975176;3.050711;3.548438;1.668089;-0.015852;6.265262;2.742890;1.171821;0.553667
29.125307;2.901273;3.534032;1.665728;-0.015599;6.308927;2.711165;1.183652;0.564754
