# vehicle: f110_demo
# optimisation: mincurv_iqp
# lap_time_s: 7.3176
# raceline_length_m: 31.3402
# generated: 2026-07-31 20:28:25
# x_m;y_m;vx_mps;trac_dir;s_m;dist_left_m;dist_right_m
6.000107;1.042659;3.166971;1.099258;11.114268;0.398786;1.641897
6.043023;1.133109;3.164220;1.156291;11.214397;0.423832;1.594021
6.080735;1.225850;3.182745;1.212763;11.314525;0.425428;1.556673
6.113179;1.320563;3.195732;1.268702;11.414654;0.422734;1.528145
6.140296;1.416937;3.208021;1.324252;11.514782;0.416107;1.516109
6.162041;1.514663;3.218136;1.379402;11.614911;0.411749;1.518384
6.178380;1.613437;3.222848;1.434309;11.715040;0.403054;1.532254
6.189285;1.712957;3.256212;1.488811;11.815168;0.389886;1.557094
6.194825;1.812921;3.308353;1.541770;11.915297;0.388829;1.586672
6.195145;1.913038;3.358156;1.593184;12.015425;0.385038;1.620020
6.190381;2.013043;3.351938;1.643664;12.115554;0.381292;1.663023
6.180535;2.112675;3.309172;1.695156;12.215682;0.376779;1.686100
6.165509;2.211658;3.263722;1.747985;12.315811;0.366881;1.719783
6.145213;2.309696;3.250883;1.801932;12.415939;0.356377;1.737936
6.119661;2.406497;3.256054;1.855781;12.516068;0.352714;1.739059
6.088942;2.501784;3.256301;1.909544;12.616196;0.355435;1.748377
6.053139;2.595280;3.221860;1.963661;12.716325;0.361316;1.709307
6.012259;2.686670;3.163433;2.019498;12.816454;0.361642;1.681044
5.966254;2.775588;3.103319;2.077376;12.916582;0.357225;1.638617
5.915093;2.861642;3.061301;2.137228;13.016711;0.357142;1.594834
5.858822;2.944445;3.027025;2.198360;13.116839;0.352951;1.557383
5.797543;3.023611;2.988040;2.260922;13.216968;0.357913;1.522315
5.731374;3.098738;2.944861;2.325131;13.317096;0.357890;1.497335
5.660455;3.169397;2.895008;2.391296;13.417225;0.352282;1.467324
5.584947;3.235126;2.840915;2.459761;13.517353;0.341491;1.450694
5.505049;3.295441;2.818546;2.530318;13.617482;0.343593;1.417168
5.421087;3.349957;2.814172;2.601140;13.717610;0.342061;1.394753
5.333469;3.398380;2.801016;2.672383;13.817739;0.343978;1.355873
5.242616;3.440419;2.827554;2.743820;13.917868;0.347443;1.318676
5.149034;3.475973;2.888559;2.812734;14.017996;0.345577;1.281334
5.053263;3.505128;2.944557;2.879042;14.118125;0.357822;1.244989
4.955796;3.527990;3.026533;2.942795;14.218253;0.365132;1.215991
4.857102;3.544789;3.110874;3.002483;14.318382;0.371794;1.187128
4.757602;3.555880;3.195817;3.057995;14.418510;0.381060;1.169051
4.657650;3.561630;3.281528;3.109732;14.518639;0.386113;1.136626
4.557534;3.562347;3.366157;3.158689;14.618767;0.393326;1.113037
4.457496;3.558294;3.448806;3.205060;14.718896;0.398919;1.087751
4.357742;3.549734;3.530017;3.248903;14.819024;0.401213;1.061719
4.258441;3.536944;3.610737;3.289996;14.919153;0.402603;1.042613
4.159724;3.520222;3.691870;3.328338;15.019282;0.400647;1.014652
4.061694;3.499860;3.773529;3.364016;15.119410;0.397599;0.991774
3.964420;3.476139;3.855659;3.397115;15.219539;0.393184;0.971524
3.867950;3.449336;3.938338;3.427659;15.319667;0.385889;0.945278
3.772305;3.419719;4.021519;3.455681;15.419796;0.384536;0.923489
3.677486;3.387554;4.104940;3.481171;15.519924;0.380981;0.901629
3.583474;3.353102;4.188631;3.504132;15.620053;0.377342;0.874095
3.490231;3.316617;4.272507;3.524595;15.720181;0.378062;0.849866
3.397707;3.278343;4.356335;3.542656;15.820310;0.376993;0.825627
3.305842;3.238514;4.439913;3.558328;15.920438;0.374342;0.798598
3.214563;3.197360;4.523090;3.571567;16.020567;0.370319;0.773810
3.123779;3.155124;4.605887;3.582058;16.120695;0.365104;0.749784
3.033382;3.112064;4.688168;3.589743;16.220824;0.362261;0.725547
2.943259;3.068435;4.769486;3.594810;16.320953;0.365475;0.702470
2.853324;3.024419;4.849095;3.598461;16.421081;0.368282;0.678236
2.763524;2.980129;4.926607;3.600910;16.521210;0.373145;0.652046
2.673802;2.935679;5.002047;3.601793;16.621338;0.384772;0.626322
2.584038;2.891316;5.074025;3.598652;16.721467;0.396682;0.598158
2.494036;2.847438;5.140357;3.591029;16.821595;0.409866;0.567653
2.403608;2.804444;5.200934;3.579277;16.921724;0.426778;0.536785
2.312641;2.762606;5.257734;3.565875;17.021852;0.445226;0.500534
2.221097;2.722044;5.310540;3.551300;17.121981;0.465339;0.460684
2.128948;2.682876;5.239620;3.535416;17.222109;0.487207;0.419142
2.036148;2.645278;5.152090;3.517239;17.322238;0.511319;0.392138
1.942636;2.609489;5.075766;3.496558;17.422367;0.537530;0.364842
1.848362;2.575757;5.004330;3.473612;17.522495;0.556231;0.341418
1.753330;2.544229;4.983521;3.450248;17.622624;0.577769;0.351027
1.657586;2.514931;4.904497;3.426841;17.722752;0.601830;0.358448
1.561181;2.487886;4.823059;3.403258;17.822881;0.613862;0.365802
1.464153;2.463170;4.744125;3.378543;17.923009;0.628822;0.376378
1.366530;2.440927;4.667872;3.352470;18.023138;0.646339;0.384553
1.268347;2.421299;4.663753;3.325305;18.123266;0.646882;0.390247
1.169675;2.404300;4.708713;3.299385;18.223395;0.650542;0.393530
1.070608;2.389776;4.757654;3.275222;18.323523;0.655848;0.394567
0.971228;2.377567;4.809770;3.252561;18.423652;0.646735;0.394316
0.871597;2.367627;4.857758;3.229337;18.523781;0.640246;0.392669
0.771757;2.360055;4.844769;3.205063;18.623909;0.635721;0.388873
0.671761;2.354961;4.770044;3.179777;18.724038;0.625113;0.389615
0.571667;2.352431;4.718318;3.153855;18.824166;0.617487;0.390591
0.471542;2.352524;4.666205;3.127368;18.924295;0.614110;0.389211
0.371454;2.355298;4.638392;3.100350;19.024423;0.620848;0.388849
0.271479;2.360779;4.646908;3.073309;19.124552;0.630784;0.386569
0.171688;2.368957;4.653811;3.046355;19.224680;0.642167;0.381791
0.072153;2.379818;4.649263;3.019448;19.324809;0.651480;0.369547
-0.027052;2.393360;4.627278;2.992357;19.424937;0.664037;0.354771
-0.125852;2.409598;4.603647;2.965003;19.525066;0.677216;0.341468
-0.224169;2.428544;4.626367;2.937468;19.625195;0.688917;0.345270
-0.321935;2.450154;4.671990;2.910830;19.725323;0.703855;0.346609
-0.419105;2.474303;4.719382;2.885364;19.825452;0.709506;0.346607
-0.515644;2.500864;4.768266;2.861033;19.925580;0.704485;0.346569
-0.611522;2.529719;4.818097;2.837635;20.025709;0.702280;0.344336
-0.706713;2.560767;4.868254;2.815110;20.125837;0.699041;0.343134
-0.801195;2.593911;4.918696;2.793527;20.225966;0.695427;0.343421
-0.894971;2.629003;4.970724;2.773847;20.326094;0.694214;0.341775
-0.988078;2.665834;5.026195;2.756344;20.426223;0.690359;0.345256
-1.080569;2.704188;5.084311;2.740946;20.526351;0.685324;0.351165
-1.172486;2.743895;5.143783;2.726883;20.626480;0.681946;0.355698
-1.263860;2.784840;5.203183;2.713930;20.726608;0.675514;0.361846
-1.354719;2.826915;5.262454;2.702121;20.826737;0.667216;0.367434
-1.445108;2.869990;5.321826;2.691934;20.926866;0.660193;0.372059
-1.535092;2.913904;5.381651;2.683513;21.026994;0.652932;0.378665
-1.624743;2.958495;5.441614;2.676845;21.127123;0.645303;0.384575
-1.714131;3.003612;5.501352;2.671741;21.227251;0.638361;0.390219
-1.803322;3.049117;5.560509;2.668144;21.327380;0.629826;0.396344
-1.892383;3.094876;5.618884;2.666058;21.427508;0.618049;0.402222
-1.981384;3.140751;5.676272;2.665545;21.527637;0.606520;0.412676
-2.070398;3.186600;5.732239;2.666628;21.627765;0.594125;0.428848
-2.159499;3.232283;5.786425;2.669302;21.727894;0.577257;0.445332
-2.248756;3.277657;5.838572;2.673535;21.828022;0.560184;0.463898
-2.338240;3.322583;5.837841;2.679315;21.928151;0.542865;0.483991
-2.428016;3.366922;5.726518;2.686648;22.028280;0.533305;0.504964
-2.518150;3.410528;5.616731;2.695624;22.128408;0.523038;0.523215
-2.608708;3.453247;5.508883;2.706273;22.228537;0.511914;0.541701
-2.699750;3.494924;5.402820;2.718580;22.328665;0.503407;0.561650
-2.791326;3.535413;5.297400;2.732223;22.428794;0.494196;0.582601
-2.883470;3.574592;5.192533;2.747092;22.528922;0.483693;0.605241
-2.976210;3.612340;5.089228;2.763222;22.629051;0.467381;0.629901
-3.069578;3.648504;4.990827;2.781265;22.729179;0.448866;0.653018
-3.163621;3.682875;4.898135;2.801472;22.829308;0.429495;0.677866
-3.258373;3.715236;4.810445;2.823815;22.929436;0.418169;0.705746
-3.353849;3.745395;4.723778;2.847656;23.029565;0.404754;0.716708
-3.450035;3.773209;4.637973;2.872764;23.129694;0.387214;0.721906
-3.546904;3.798537;4.553117;2.899159;23.229822;0.365199;0.730235
-3.644423;3.821231;4.470073;2.926988;23.329951;0.344341;0.730410
-3.742551;3.841129;4.388832;2.956334;23.430079;0.344272;0.718854
-3.841234;3.858063;4.306646;2.987177;23.530208;0.341507;0.710926
-3.940396;3.871908;4.292443;3.018593;23.630336;0.347609;0.703069
-4.039946;3.882621;4.276030;3.050228;23.730465;0.352885;0.679145
-4.139785;3.890168;4.254483;3.082122;23.830593;0.360044;0.659307
-4.239816;3.894507;4.221013;3.114438;23.930722;0.371921;0.642654
-4.339934;3.895587;4.185835;3.147271;24.030850;0.380829;0.613726
-4.440033;3.893352;4.162929;3.180631;24.130979;0.396761;0.589108
-4.540002;3.887777;4.183651;3.213926;24.231108;0.416884;0.567569
-4.639731;3.878892;4.202364;3.246916;24.331236;0.433908;0.544271
-4.739114;3.866736;4.205474;3.279661;24.431365;0.448400;0.525128
-4.838044;3.851320;4.159772;3.312813;24.531493;0.460333;0.511737
-4.936402;3.832598;4.113123;3.346690;24.631622;0.469298;0.504921
-5.034061;3.810519;4.071658;3.381316;24.731750;0.475612;0.502127
-5.130890;3.785045;4.049164;3.416435;24.831879;0.479995;0.498998
-5.226758;3.756168;4.024289;3.451955;24.932007;0.481426;0.498062
-5.321534;3.723884;3.996149;3.487925;25.032136;0.479892;0.501337
-5.415077;3.688188;3.960787;3.524463;25.132264;0.475585;0.507190
-5.507242;3.649068;3.923522;3.561658;25.232393;0.468271;0.517489
-5.597872;3.606517;3.885229;3.599557;25.332521;0.457820;0.533571
-5.686809;3.560529;3.846058;3.638192;25.432650;0.447295;0.557047
-5.773883;3.511107;3.804877;3.677619;25.532779;0.437185;0.585814
-5.858919;3.458256;3.762313;3.717894;25.632907;0.423695;0.603572
-5.941732;3.401986;3.717172;3.759088;25.733036;0.409364;0.619365
-6.022128;3.342314;3.670092;3.801283;25.833164;0.405250;0.640267
-6.099902;3.279263;3.622073;3.844549;25.933293;0.397590;0.657513
-6.174838;3.212865;3.572176;3.888955;26.033421;0.386258;0.680813
-6.246710;3.143163;3.520277;3.934601;26.133550;0.378660;0.714696
-6.315278;3.070208;3.471023;3.981567;26.233678;0.367731;0.763855
-6.380302;2.994079;3.436309;4.029589;26.333807;0.352737;0.821814
-6.441558;2.914887;3.397668;4.078610;26.433935;0.350133;0.872128
-6.498815;2.832757;3.367723;4.128730;26.534064;0.343465;0.922002
-6.551878;2.747857;3.398099;4.178702;26.634193;0.341693;0.981201
-6.600669;2.660432;3.424610;4.227876;26.734321;0.346646;1.012982
-6.645136;2.570729;3.449370;4.276379;26.834450;0.361534;1.041804
-6.685238;2.478992;3.488601;4.324000;26.934578;0.394981;1.078337
-6.720975;2.385468;3.525447;4.370630;27.034707;0.427149;1.083292
-6.752357;2.290393;3.558905;4.416370;27.134835;0.458369;1.082709
-6.779398;2.193994;3.589524;4.461326;27.234964;0.480121;1.088886
-6.802114;2.096485;3.617447;4.505579;27.335092;0.495001;1.066655
-6.820526;1.998071;3.641977;4.549215;27.435221;0.504077;1.039407
-6.834653;1.898952;3.663498;4.592324;27.535349;0.508920;1.018892
-6.844519;1.799318;3.682080;4.634979;27.635478;0.515787;0.999043
-6.850148;1.699355;3.697263;4.677256;27.735607;0.522035;0.983573
-6.851561;1.599244;3.709045;-1.563948;27.835735;0.524423;0.974189
-6.848784;1.499161;3.717636;-1.522189;27.935864;0.520834;0.955253
-6.841839;1.399281;3.722922;-1.480581;28.035992;0.513940;0.936599
-6.830750;1.299775;3.725671;-1.439059;28.136121;0.503740;0.923886
-6.815542;1.200816;3.725291;-1.397563;28.236249;0.514201;0.882363
-6.796241;1.102572;3.721387;-1.356025;28.336378;0.521305;0.839241
-6.772869;1.005217;3.710107;-1.314319;28.436506;0.525106;0.796080
-6.745446;0.908924;3.695109;-1.272327;28.536635;0.531610;0.722990
-6.713988;0.813874;3.678432;-1.229967;28.636763;0.538820;0.658331
-6.678521;0.720245;3.676976;-1.187421;28.736892;0.542704;0.601565
-6.639102;0.628210;3.673311;-1.144818;28.837021;0.543300;0.552075
